post_id,timestamp,hour,day_of_week,platform,post_type,views,likes,reposts
1,2024-01-11 23:15:00,23,Thursday,TikTok,Text,7714,1647,484
2,2024-01-01 14:20:00,14,Monday,VK,Story,1345,1150,497
3,2024-01-27 11:58:00,11,Saturday,VK,Video,8343,625,322
4,2024-01-08 20:04:00,20,Monday,Instagram,Text,637,566,163
5,2024-01-05 08:25:00,8,Friday,TikTok,Story,640,123,387
6,2024-01-12 16:50:00,16,Friday,Instagram,Text,914,864,74
7,2024-01-26 19:54:00,19,Friday,TikTok,Video,1515,1576,232
8,2024-01-16 06:02:00,6,Tuesday,Telegram,Text,1752,685,416
9,2024-01-12 03:03:00,3,Friday,Telegram,Story,4162,986,283
10,2024-01-29 12:50:00,12,Monday,Instagram,Video,2456,710,479
11,2024-01-02 04:05:00,4,Tuesday,TikTok,Image,3910,1326,376
12,2024-01-01 12:49:00,12,Monday,Instagram,Story,9155,1228,254
13,2024-01-02 16:33:00,16,Tuesday,VK,Story,285,301,463
14,2024-01-04 16:31:00,16,Thursday,Instagram,Video,1651,1920,8
15,2024-01-27 06:19:00,6,Saturday,Instagram,Video,7113,270,202
16,2024-01-28 05:08:00,5,Sunday,Telegram,Image,861,1975,389
17,2024-01-13 04:48:00,4,Saturday,Instagram,Story,9571,1240,378
18,2024-01-14 17:29:00,17,Sunday,TikTok,Video,6263,573,304
19,2024-01-20 22:13:00,22,Saturday,Telegram,Image,7735,58,90
20,2024-01-05 10:36:00,10,Friday,Instagram,Image,3381,1039,380
21,2024-01-20 02:00:00,2,Saturday,VK,Video,1636,388,331
22,2024-01-29 18:34:00,18,Monday,Instagram,Story,6301,1427,149
23,2024-01-18 19:38:00,19,Thursday,Instagram,Text,3264,1919,359
24,2024-01-14 03:42:00,3,Sunday,Instagram,Text,2870,233,175
25,2024-01-13 19:11:00,19,Saturday,Telegram,Image,7499,1056,484
26,2024-01-02 21:47:00,21,Tuesday,TikTok,Text,3945,1017,404
27,2024-01-01 03:09:00,3,Monday,VK,Text,3535,666,32
